JournalTitle,Society,Publisher,SoftwareSection,AimsScope,AuthorInstructions,CreationSoftware,RequireCodeRelease,RequireDataRelease,TitleSoftwareSection
Behavioral Ecology and Sociobiology,None,Springer,Yes,0,3,1,No,No,Methods
Ecological Engineering,None,Elsevier,No,0,2,0,No,No,None
Fungal Ecology,The British Mycological Society,Elsevier,No,0,0,0,No,Yes,None
Wildlife Monographs ,The Wildlife Society,Wiley,No,0,19,0,No,No,None
Biological Invasions,None,Springer,No,0,2,0,No,No,None
Journal of the North American Benthological Society ,The Society for Freshwater Science,BioOne,No,0,1,1,No,Yes,None
Ecology and Society,None,The Resilience Alliance,No,1,6,1,No,No,None
Marine Ecology Progress Series,None,Inter-Research,No,0,1,0,No,Yes,None
Ecohydrology,None,Wiley,No,0,0,0,No,No,None
Landscape and Urban Planning,None,Elsevier,No,0,4,0,No,No,None
Ecosphere ,Ecological Society of America,Ecological Society of America,No,0,10,10,Yes,Yes,None
Animal Conservation ,The Zoological Society of London,Wiley,No,0,0,0,No,Yes,None
Ecological Economics ,The International Society for Ecological Economics,Elsevier,No,0,2,0,No,No,None
Ecotoxicology,None,Springer,No,0,2,0,No,No,None
Journal of Experimental Marine Biology and Ecology,None,Elsevier,No,0,2,0,No,No,None
Paleobiology ,The Paleontological Society,Cambridge University Press,No,0,2,2,No,No,None
Applied Vegetation Science ,International Association for Vegetation Science,Wiley,No,0,2,2,No,No,None
Basic and Applied Ecology ,"Ecological Society of Germany, Austria, and Switzerland",Elsevier,No,0,3,0,No,Yes,None
Evolutionary Ecology,None,Springer,No,0,1,0,No,No,None
Ecological Modelling ,International Society of Ecological Modelling,Elsevier,No,0,2,0,No,No,None
Journal of Plant Ecology ,Botanical Society of China,Oxford Journals,No,0,0,0,No,Yes,None
European Journal of Soil Biology,None,Elsevier,No,0,2,0,No,No,None
Biotropica ,The Association for Tropical Biology and Conservation,Wiley,No,0,0,0,No,No,None
Polar Biology,None,Springer,No,0,2,0,No,No,None
Biodiversity and Conservation,None,Springer,No,0,2,0,No,No,None
Ecological Complexity,None,Elsevier,No,0,3,0,No,No,None
Restoration Ecology ,Society for Ecological Restoration,Wiley,No,0,0,0,No,No,None
Ecological Informatics,None,Elsevier,No,0,2,0,No,No,None
Chemoecology,None,Springer,No,0,2,0,No,No,None
Oryx ,Fauna & Flora International,Cambridge University Press,No,0,3,0,No,No,None
Aquatic Microbial Ecology,None,Inter-Research,No,0,2,1,No,Yes,None
Acta Oecologica-International Journal of Ecology,None,Elsevier,No,0,2,0,No,No,None
Journal for Nature Conservation ,European Centre for Nature Conservation,Elsevier,No,0,3,0,No,No,None
Journal of Arid Environments,None,Elsevier,No,0,2,0,No,No,None
Journal of Soil and Water Conservation ,Soil and Water Conservation Society,Highwire,No,0,1,0,No,No,None
International Journal of Sustainable Development and World Ecology,None,Taylor & Francis,No,0,1,0,No,No,None
Urban Ecosystems,None,Springer,No,0,2,0,No,No,None
Theoretical Ecology,None,Springer,No,0,2,0,No,No,None
Austral Ecology ,The Ecological Society of Australia,Wiley,No,0,0,0,No,No,None
Population Ecology,None,Springer,No,0,1,0,No,No,None
Polar Research ,Norwegian Polar Institute,Wiley,No,0,0,0,No,Yes,None
Pedobiologia,None,Elsevier,No,0,3,0,No,No,None
Ecology and Evolution,None,Wiley,No,0,7,1,No,Yes,None
Plant Ecology,None,Springer,No,0,2,0,No,No,None
Journal of Wildlife Management ,The Wildlife Society,Wiley,No,0,16,0,No,No,None
Theoretical Population Biology,None,Elsevier,No,0,2,0,No,No,None
Ecological Research ,Ecological Society of Japan,Springer,No,0,3,0,No,Yes,None
Rangeland Ecology & Management ,Society for Range Management,Society for Range Management,No,0,2,0,No,No,None
Flora,None,Elsevier,No,0,3,0,No,Yes,None
Aquatic Ecology,Dutch-Flemish Association for Ecology,Springer,No,0,2,0,No,No,None
Wetlands ,Society of Wetland Scientists,Springer,No,0,1,0,No,No,None
Freshwater Science ,The Society for Freshwater Science,The University of Chicago Press,No,0,1,1,No,No,None
Environmental Biology of Fishes,None,Springer,No,0,2,0,No,No,None
Plant Species Biology,Society for the Study of Species Biology,Wiley,No,0,1,0,No,No,None
Journal of Tropical Ecology,None,Cambridge University Press,No,0,0,0,No,No,None
European Journal of Wildlife Research,None,Springer,No,0,2,0,No,No,None
Community Ecology,None,Akademiai Kiado,No,0,0,0,No,No,None
Wildlife Research,None,CSIRO Publishing,No,0,2,0,No,No,None
