"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
74,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,"2,444",1.841,0.00469,
75,JOURNAL FOR NATURE CONSERVATION,630,1.833,0.00187,
76,JOURNAL OF ARID ENVIRONMENTS,"6,544",1.822,0.00984,
77,JOURNAL OF SOIL AND WATER CONSERVATION,"2,637",1.811,0.00326,
78,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,744,1.771,0.00122,
79,URBAN ECOSYSTEMS,908,1.74,0.00246,
80,Theoretical Ecology,334,1.732,0.00245,
81,AUSTRAL ECOLOGY,"2,925",1.724,0.00512,
82,POPULATION ECOLOGY,"1,002",1.7,0.00333,
83,POLAR RESEARCH,"1,081",1.686,0.00226,
84,PEDOBIOLOGIA,"1,955",1.667,0.00222,
85,Ecology and Evolution,686,1.658,0.00308,
86,PLANT ECOLOGY,"5,124",1.64,0.00962,
87,JOURNAL OF WILDLIFE MANAGEMENT,"8,846",1.611,0.01098,
88,THEORETICAL POPULATION BIOLOGY,"3,788",1.531,0.00447,
89,ECOLOGICAL RESEARCH,"2,602",1.513,0.00615,
90,Rangeland Ecology & Management,"1,131",1.464,0.00332,
91,FLORA,"1,959",1.462,0.00371,
92,AQUATIC ECOLOGY,"1,342",1.456,0.00325,
93,WETLANDS,"3,091",1.444,0.00471,
94,Freshwater Science,187,1.423,0.0007,
95,ENVIRONMENTAL BIOLOGY OF FISHES,"5,177",1.356,0.00599,
96,PLANT SPECIES BIOLOGY,475,1.327,0.00079,
97,JOURNAL OF TROPICAL ECOLOGY,"2,899",1.222,0.00347,
98,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,"1,081",1.208,0.00353,
99,COMMUNITY ECOLOGY,451,1.2,0.00111,
100,WILDLIFE RESEARCH,"2,003",1.194,0.00361,
101,CHEMISTRY AND ECOLOGY,652,1.18,0.00129,
101,Landscape and Ecological Engineering,176,1.18,0.00065,
103,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,"3,555",1.17,0.0036,
104,Fire Ecology,250,1.156,0.00103,
105,Marine Biology Research,687,1.134,0.00234,
106,Aquatic Invasions,770,1.133,0.00296,
107,NEW ZEALAND JOURNAL OF ECOLOGY,953,1.086,0.00134,
108,WILDLIFE BIOLOGY,891,1.071,0.00179,
109,RANGELAND JOURNAL,544,1.064,0.00113,
110,ANNALES ZOOLOGICI FENNICI,"1,590",1.03,0.0015,
111,ECOSCIENCE,"1,743",1.013,0.0022,
112,AFRICAN JOURNAL OF ECOLOGY,"1,541",1,0.00207,
113,NORTHWEST SCIENCE,736,0.972,0.0008,
114,Journal of Fish and Wildlife Management,75,0.949,0.00042,
115,JOURNAL OF NATURAL HISTORY,"2,569",0.927,0.00368,
116,REVISTA CHILENA DE HISTORIA NATURAL,"1,155",0.831,0.00087,
117,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,"1,096",0.818,0.00025,
118,POLISH POLAR RESEARCH,411,0.788,0.00062,
119,EVOLUTIONARY ECOLOGY RESEARCH,"1,905",0.752,0.003,
120,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,487,0.711,0.00082,
121,EKOLOJI,229,0.708,0.00025,
122,COMPOST SCIENCE & UTILIZATION,503,0.662,0.00051,
123,AMERICAN MIDLAND NATURALIST,"3,233",0.621,0.00164,
123,POLAR RECORD,338,0.621,0.00051,
125,NATURAL AREAS JOURNAL,627,0.608,0.00091,
126,JOURNAL OF FRESHWATER ECOLOGY,711,0.593,0.00092,
127,POLISH JOURNAL OF ECOLOGY,528,0.554,0.00103,
128,TROPICAL ECOLOGY,432,0.551,0.00055,
129,VIE ET MILIEU-LIFE AND ENVIRONMENT,551,0.5,0.00042,
130,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,239,0.456,0.00058,
131,WESTERN NORTH AMERICAN NATURALIST,406,0.398,0.00096,
132,RUSSIAN JOURNAL OF ECOLOGY,517,0.386,0.00082,
133,SOUTHEASTERN NATURALIST,385,0.382,0.00099,
134,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,251,0.367,0.00018,
135,NORTHEASTERN NATURALIST,381,0.361,0.001,
136,Israel Journal of Ecology & Evolution,142,0.302,0.0004,
137,Eco mont-Journal on Protected Mountain Areas Research,16,0.278,0.00005,
138,REVUE D ECOLOGIE-LA TERRE ET LA VIE,332,0.275,0.00036,
139,INTERCIENCIA,754,0.248,0.00105,
140,SOUTHWESTERN NATURALIST,"1,011",0.207,0.00076,
141,Contemporary Problems of Ecology,171,0.14,0.00044,
Copyright å© 2015 Thomson Reuters,,,,,1
